"FUNCTION_ID_ONE","FUNCTION_ID_TWO","FUNCTION_ONE_NAME","FUNCTION_ONE_TYPE","FUNCTION_ONE_STARTLINE","FUNCTION_ONE_ENDLINE","FUNCTION_TWO_NAME","FUNCTION_TWO_TYPE","FUNCTION_TWO_STARTLINE","FUNCTION_TWO_ENDLINE","FUNCTIONALITY_ID","SYNTACTIC_TYPE","SIMILARITY_LINE","SIMILARITY_TOKEN"
"6188784","11993046","2688879.java","selected","37","49","1752530.java","selected","128","140","4","2","1.0","1.0"
"367771","1421557","122954.java","default","872","898","597475.java","selected","838","864","4","2","1.0","1.0"
"1552000","2233543","801858.java","selected","37","49","1626928.java","selected","95","107","39","2","1.0","1.0"
"97595","216274","100442.java","default","395","401","112293.java","default","384","390","31","2","1.0","1.0"
"6061402","22993368","2190287.java","selected","837","863","2108660.java","selected","959","985","4","2","1.0","1.0"
"17984312","20544327","91947.java","selected","61","72","881437.java","selected","27","38","4","2","1.0","1.0"
"2461169","2711644","927691.java","selected","790","816","264272.java","selected","754","780","4","2","1.0","1.0"
"8024375","15972030","2713526.java","selected","41","75","349715.java","selected","38","72","3","2","1.0","1.0"
"8405993","8889557","2289040.java","selected","25","51","2472413.java","selected","25","51","41","2","1.0","1.0"
"16209101","22262998","758050.java","selected","26","33","2364224.java","selected","387","394","3","2","1.0","1.0"
"7976872","17534703","1144005.java","selected","142","184","226776.java","selected","20","62","4","2","1.0","1.0"
"19142737","21870536","1402632.java","selected","874","900","1876215.java","selected","753","779","4","2","1.0","1.0"
"14598566","21247844","1542784.java","selected","128","134","1183848.java","selected","84","90","4","2","1.0","1.0"
"250596","1966262","126904.java","default","872","898","1483221.java","selected","836","862","4","2","1.0","1.0"
"3608108","17815062","2388104.java","selected","419","426","790184.java","selected","22","29","3","2","1.0","1.0"
"13902980","16351776","304936.java","selected","835","861","1931054.java","selected","874","900","4","2","1.0","1.0"
"5523389","10601019","1823751.java","selected","50","58","2077739.java","selected","747","755","4","2","1.0","1.0"
"13028547","18731109","593263.java","selected","873","899","2365821.java","selected","838","864","4","2","1.0","1.0"
"6061403","13028546","2190287.java","selected","873","899","593263.java","selected","837","863","4","2","1.0","1.0"
"14338365","14548507","820333.java","selected","40","47","253935.java","selected","609","616","3","2","1.0","1.0"
"948486","9693857","16883.java","default","853","879","964253.java","selected","874","900","4","2","1.0","1.0"
"9568958","14887616","1070751.java","selected","118","152","705884.java","selected","38","72","3","2","1.0","1.0"
"1424647","2418918","2082.java","selected","64","76","1632727.java","selected","129","141","4","2","1.0","1.0"
"8793825","19142737","1607771.java","selected","838","864","1402632.java","selected","874","900","4","2","1.0","1.0"
"6756635","15351863","1019843.java","selected","22","29","6505.java","selected","22","29","3","2","1.0","1.0"
"395847","567090","54509.java","default","44","58","132518.java","default","17","31","34","2","1.0","1.0"
"3088336","7843322","531806.java","selected","52","71","701343.java","selected","51","70","8","2","1.0","1.0"
"8778961","15571542","2599719.java","selected","838","864","1560483.java","selected","790","816","4","2","1.0","1.0"
"13783899","18269744","1966020.java","selected","894","920","59218.java","selected","732","758","4","2","1.0","1.0"
"21408","144390","108650.java","default","352","371","10034.java","default","745","764","28","2","1.0","1.0"
"2111179","3349280","773080.java","selected","30","47","2731227.java","selected","26","43","45","2","1.0","1.0"
"10287987","16388707","2215261.java","selected","874","900","1802351.java","selected","838","864","4","2","1.0","1.0"
"23205","23206","102597.java","default","85","95","102597.java","default","97","107","2","2","1.0","1.0"
"19912848","21870536","419020.java","selected","939","965","1876215.java","selected","753","779","4","2","1.0","1.0"
"8612647","13902981","707943.java","selected","837","863","304936.java","selected","871","897","4","2","1.0","1.0"
"8778961","19142737","2599719.java","selected","838","864","1402632.java","selected","874","900","4","2","1.0","1.0"
"4471001","16351775","2229382.java","selected","874","900","1931054.java","selected","838","864","4","2","1.0","1.0"
"4518934","21488868","1496807.java","selected","884","910","588446.java","selected","839","865","4","2","1.0","1.0"
"4518933","16224018","1496807.java","selected","848","874","110490.java","selected","874","900","4","2","1.0","1.0"
"2532322","13783898","244622.java","selected","873","899","1966020.java","selected","858","884","4","2","1.0","1.0"
"4623012","6814855","375037.java","selected","851","877","209298.java","selected","840","866","4","2","1.0","1.0"
"15571541","18731110","1560483.java","selected","754","780","2365821.java","selected","874","900","4","2","1.0","1.0"
"17856104","21946945","1421935.java","selected","285","300","151366.java","selected","191","206","3","2","1.0","1.0"
"2461169","6244936","927691.java","selected","790","816","183804.java","selected","752","778","4","2","1.0","1.0"
"1176194","1982368","1774422.java","selected","164","176","2627881.java","selected","83","95","39","2","1.0","1.0"
"4224228","17815062","45714.java","selected","26","33","790184.java","selected","22","29","3","2","1.0","1.0"
"968361","968372","2247325.java","selected","30","44","2247325.java","selected","174","188","35","2","1.0","1.0"
"12172484","22246375","1882693.java","selected","837","863","2481579.java","selected","893","919","4","2","1.0","1.0"
"1421557","2461169","597475.java","selected","838","864","927691.java","selected","790","816","4","2","1.0","1.0"
"11319479","18731110","2430560.java","selected","838","864","2365821.java","selected","874","900","4","2","1.0","1.0"
"10318446","19685311","1571204.java","selected","43","49","582021.java","selected","48","54","4","2","1.0","1.0"
"8921716","17808515","680627.java","selected","26","33","2039681.java","selected","22","29","3","2","1.0","1.0"
"2141749","13395222","2585622.java","selected","26","33","1979029.java","selected","44","51","3","2","1.0","1.0"
"4223265","12606395","203961.java","selected","22","29","2729985.java","selected","22","29","3","2","1.0","1.0"
"367770","21488869","122954.java","default","836","862","588446.java","selected","875","901","4","2","1.0","1.0"
"2711644","18269745","264272.java","selected","754","780","59218.java","selected","768","794","4","2","1.0","1.0"
"2796047","2806371","2010019.java","selected","65","69","2617056.java","selected","38","42","4","2","1.0","1.0"
"9088422","14183084","2348309.java","selected","754","780","1103041.java","selected","874","900","4","2","1.0","1.0"
"12614306","22246374","2339370.java","selected","791","817","2481579.java","selected","857","883","4","2","1.0","1.0"
"4518933","6814855","1496807.java","selected","848","874","209298.java","selected","840","866","4","2","1.0","1.0"
"13028546","19584878","593263.java","selected","837","863","1098324.java","selected","851","877","4","2","1.0","1.0"
"14785308","16209101","1641263.java","selected","21","28","758050.java","selected","26","33","3","2","1.0","1.0"
"6814855","12172484","209298.java","selected","840","866","1882693.java","selected","837","863","4","2","1.0","1.0"
"12172485","15571541","1882693.java","selected","873","899","1560483.java","selected","754","780","4","2","1.0","1.0"
"3768628","11548511","2554952.java","selected","838","864","2640664.java","selected","789","815","4","2","1.0","1.0"
"154175","154179","75101.java","default","332","338","75101.java","default","376","382","31","2","1.0","1.0"
"10287987","21488868","2215261.java","selected","874","900","588446.java","selected","839","865","4","2","1.0","1.0"
"7760801","13783898","2626904.java","selected","874","900","1966020.java","selected","858","884","4","2","1.0","1.0"
"8385785","17808515","2591858.java","selected","22","29","2039681.java","selected","22","29","3","2","1.0","1.0"
"11319480","17456565","2430560.java","selected","874","900","2038811.java","selected","838","864","4","2","1.0","1.0"
"411630","10287987","77069.java","default","836","862","2215261.java","selected","874","900","4","2","1.0","1.0"
"250595","21870537","126904.java","default","836","862","1876215.java","selected","789","815","4","2","1.0","1.0"
"18269745","22246374","59218.java","selected","768","794","2481579.java","selected","857","883","4","2","1.0","1.0"
"16351776","19142736","1931054.java","selected","874","900","1402632.java","selected","838","864","4","2","1.0","1.0"
